Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"7,158",1.14,1.07,1.12,1.11,1.16,1.45,0.87,1.01,1.05,1.05,1.06,88.3,174
2,Sutter Health Park,24',Open,"4,501",1.08,1.11,1.05,1.01,1.13,0.80,0.95,1.09,0.96,0.99,1.01,87.7,172.5
3,Chase Field,1086',Retractable,"6,576",1.05,0.99,1.03,1.00,1.09,1.61,0.93,0.99,1.07,1.03,1.03,88.7,167.9
4,Nationals Park,35',Open,"6,034",1.02,1.00,1.02,1.03,0.99,0.95,0.94,1.00,1.03,1.04,0.99,88.1,159.4
5,Target Field,828',Open,"6,402",1.02,0.96,1.03,1.02,1.10,1.05,0.99,0.98,1.03,1.02,1.01,88.4,172.4
6,Angel Stadium,151',Open,"6,964",1.02,1.00,1.03,1.05,0.98,0.99,1.01,1.02,0.98,1.00,1.00,88.5,170.4
7,Oriole Park at Camden Yards,33',Open,"5,945",1.02,0.96,1.03,1.03,1.02,1.21,0.97,0.97,1.03,1.05,1.01,89.3,170.1
8,Truist Park,1001',Open,"6,244",1.01,0.96,1.04,1.06,1.02,1.06,1.04,0.98,1.00,1.03,1.01,88.7,165.2
9,Great American Ball Park,535',Open,"7,027",1.01,1.08,1.00,0.97,1.04,0.81,1.00,1.05,1.00,0.97,1.00,88.1,174.1
10,Rogers Centre,270',Retractable,"6,942",1.01,1.06,1.02,1.02,0.99,0.80,1.02,0.99,1.06,1.04,0.99,88.5,166.8
11,Tropicana Field,15',Dome,"3,354",1.01,1.11,1.01,0.97,1.00,1.11,1.01,0.94,1.06,0.97,1.01,87.5,166
12,Daikin Park,45',Retractable,"7,334",1.01,1.09,1.00,0.98,1.01,1.03,1.08,1.02,0.94,1.00,0.99,87.6,163.2
13,Dodger Stadium,515',Open,"6,067",1.01,1.16,0.99,0.95,0.98,0.79,1.04,1.01,1.01,1.01,1.00,88.5,173
14,Citizens Bank Park,20',Open,"6,505",1.00,1.00,1.03,1.04,0.98,1.08,1.05,0.96,0.88,0.99,0.99,88.1,158.4
15,Progressive Field,653',Open,"4,789",1.00,0.90,1.03,1.04,1.10,0.92,1.05,1.03,0.97,1.02,1.00,88.5,165.1
16,Kauffman Stadium,856',Open,"6,676",1.00,0.95,0.99,0.98,1.04,1.17,0.94,1.02,1.03,1.02,1.02,88.8,167.9
17,Comerica Park,600',Open,"6,127",1.00,1.04,1.00,1.00,0.96,0.80,0.98,0.97,0.97,1.00,1.00,88.5,166
18,Rate Field,595',Open,"6,397",1.00,0.95,1.00,1.02,0.99,0.78,0.97,1.06,1.00,1.01,0.99,88.3,167.5
19,Fenway Park,21',Open,"6,246",0.99,0.90,1.02,1.06,1.00,0.85,0.98,0.98,0.92,0.98,0.99,87.6,155.7
20,Petco Park,23',Open,"6,350",0.99,1.09,0.99,0.99,0.92,0.88,1.05,1.02,1.05,0.99,0.99,88.4,163.4
21,PNC Park,780',Open,"6,819",0.99,0.83,1.02,1.03,1.08,0.87,0.97,0.99,0.95,1.03,1.00,88.1,159.3
22,loanDepot park,10',Retractable,"6,497",0.99,0.89,0.99,0.99,1.05,1.18,0.97,1.03,1.01,1.01,0.99,88,156.6
23,American Family Field,597',Retractable,"6,237",0.98,1.07,0.99,0.99,0.94,0.78,1.09,1.01,0.97,0.98,1.01,88,166.1
24,Yankee Stadium,55',Open,"5,522",0.98,1.05,0.97,0.95,0.97,0.98,1.03,1.06,1.03,1.03,1.00,89.2,169.9
25,Citi Field,10',Open,"6,211",0.97,1.00,0.97,0.96,0.96,1.04,1.04,1.06,1.00,1.00,0.99,88.3,165
26,Oracle Park,',Open,"6,589",0.97,0.82,1.00,1.03,1.02,1.23,0.96,0.98,0.93,1.00,0.99,88.2,161.8
27,Busch Stadium,460',Open,"6,627",0.97,0.84,0.99,1.01,1.03,0.86,0.93,0.94,0.97,1.02,1.00,88.7,160.7
28,Wrigley Field,595',Open,"6,714",0.96,1.05,0.96,0.98,0.84,0.95,1.01,0.97,1.00,1.02,0.99,88.3,167.2
29,Globe Life Field,545',Retractable,"6,224",0.96,0.94,0.97,0.99,0.95,0.98,1.01,0.96,1.02,1.03,1.01,88.4,170.1
30,T-Mobile Park,10',Retractable,"5,308",0.91,0.95,0.94,0.95,0.89,0.74,1.10,0.92,0.97,0.96,1.00,88,161.2
