Matchup,COL @ WSH
Pitcher,Tanner Gordon
Pitcher Team,COL
Opposing Team,WSH

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,76.2,338,0.311,0.374,0.547,0.236,1.49,16,1.88,4.4%,22.6%,18.9%,18.0%,11.8%,7.51,65.0%,7.3%,10.1%,43.2%,35.8%,17.4%,22.6%
vsLHB,44.1,195,0.317,0.395,0.607,0.290,1.51,12,2.44,4.6%,23.8%,19.5%,18.9%,12.3%,7.71,67.5%,8.0%,9.5%,41.5%,40.8%,20.0%,22.4%
vsRHB,32.1,143,0.304,0.345,0.467,0.163,1.45,4,1.11,4.2%,21.1%,18.2%,16.9%,11.2%,7.24,61.5%,6.2%,10.9%,45.5%,29.1%,12.5%,22.7%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Andres Chaparro RHB,—,N/A,14,3.40,10,1,1,92.8,254.7,3,2,20.0%,20.0%,20.0%,60.0%,40.0%,75.1,60.0%,35.0%,20.0%,95.2%,80.0%,50.0%,20.0%,30.0%,10.0%,30.0%,60.0%,10.0%,0.0%
Jose Tena LHB,—,N/A,24,3.40,10,1,1,92.5,286.9,2,2,20.0%,-,-,60.0%,40.0%,72.8,20.0%,46.7%,33.3%,93.8%,40.0%,10.0%,100.0%,30.0%,50.0%,-,70.0%,30.0%,22.2%
Daylen Lile LHB,,+820,33,4.60,10,1,1,89.5,285.2,4,2,10.0%,10.0%,40.0%,40.0%,50.0%,73.6,21.1%,36.8%,21.1%,95.0%,60.0%,30.0%,33.3%,30.0%,30.0%,60.0%,30.0%,10.0%,66.7%
Abimelec Ortiz LHB,,+538,36,4.20,10,0,0,82.1,268.5,3,0,-,-,10.0%,-,40.0%,74.4,47.8%,17.4%,-,92.0%,60.0%,40.0%,0.0%,20.0%,40.0%,20.0%,40.0%,40.0%,22.2%
Harry Ford RHB,—,N/A,5,2.60,10,0,0,84.2,327.3,2,0,10.0%,10.0%,10.0%,40.0%,10.0%,69.7,11.8%,35.3%,11.8%,89.5%,20.0%,10.0%,0.0%,10.0%,80.0%,70.0%,30.0%,-,40.0%
Jorbit Vivas LHB,,+1220,21,3.20,10,0,0,82.4,222.2,1,0,-,-,10.0%,10.0%,30.0%,69.2,7.7%,38.5%,7.7%,100.0%,60.0%,30.0%,0.0%,30.0%,30.0%,20.0%,50.0%,30.0%,44.4%
CJ Abrams LHB,,+508,33,4.40,10,0,0,83.4,290.5,2,2,10.0%,10.0%,20.0%,20.0%,30.0%,73.1,31.2%,18.8%,6.2%,94.1%,30.0%,20.0%,0.0%,10.0%,60.0%,50.0%,20.0%,30.0%,40.0%
Dylan Crews RHB,,+525,17,4.00,10,0,0,92.7,284.5,1,1,-,-,10.0%,40.0%,20.0%,75.0,50.0%,57.1%,21.4%,100.0%,30.0%,10.0%,0.0%,20.0%,70.0%,60.0%,30.0%,10.0%,14.3%
Keibert Ruiz SHB,,+750,17,4.00,10,0,0,88.0,243.8,1,0,-,-,40.0%,40.0%,30.0%,69.6,14.3%,35.7%,7.1%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,80.0%,-,20.0%,50.0%
Nasim Nuñez SHB,,+1750,15,3.60,10,0,0,84.4,214.3,1,1,-,-,-,30.0%,30.0%,67.6,11.1%,38.9%,5.6%,85.7%,30.0%,20.0%,0.0%,10.0%,50.0%,30.0%,30.0%,40.0%,11.1%
Brady House RHB,,+600,18,3.40,10,0,0,95.4,307.8,2,1,10.0%,-,-,60.0%,20.0%,73.1,25.0%,66.7%,25.0%,100.0%,30.0%,20.0%,0.0%,10.0%,70.0%,10.0%,60.0%,30.0%,55.6%
Jacob Young RHB,,+1200,17,4.00,10,0,1,79.1,265.3,2,1,10.0%,-,10.0%,30.0%,30.0%,71.6,20.0%,50.0%,20.0%,100.0%,40.0%,20.0%,0.0%,20.0%,50.0%,40.0%,40.0%,20.0%,33.3%
Andrew Pinckney RHB,—,N/A,-,2.40,3,0,0,90.9,306.7,1,1,33.3%,-,-,66.7%,100.0%,79.8,100.0%,50.0%,-,100.0%,100.0%,33.3%,0.0%,66.7%,-,-,66.7%,33.3%,66.7%
