Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"11,008",1.14,1.07,1.12,1.12,1.14,1.43,0.87,1.03,1.03,1.04,1.06,88.4,173.3
2,Sutter Health Park,24',Open,"6,193",1.06,1.04,1.04,1.02,1.12,0.87,0.95,1.09,0.94,0.98,1.00,88.2,174.4
3,Great American Ball Park,535',Open,"10,117",1.04,1.15,1.01,0.98,1.04,0.82,1.00,1.04,1.02,0.97,1.00,88,174.4
4,Oriole Park at Camden Yards,33',Open,"10,613",1.03,1.03,1.03,1.03,1.01,1.10,0.97,0.97,1.04,1.03,1.00,89.1,169.7
5,Target Field,828',Open,"10,737",1.03,0.99,1.04,1.04,1.07,0.90,0.99,0.97,1.04,1.01,1.01,88.5,174.8
6,Chase Field,1086',Retractable,"10,892",1.02,0.91,1.02,1.01,1.10,1.45,0.93,0.98,1.02,1.04,1.02,88.9,166.3
7,Angel Stadium,151',Open,"10,114",1.02,1.03,1.02,1.03,0.98,1.00,1.01,1.03,1.00,1.02,1.00,88.6,168.5
8,Nationals Park,35',Open,"10,859",1.02,1.01,1.02,1.04,0.96,0.99,0.95,1.00,1.06,1.03,1.00,88.5,162.1
9,Daikin Park,45',Retractable,"10,071",1.02,1.12,1.01,0.99,1.00,0.90,1.08,1.02,0.96,1.01,0.99,88.4,167.5
10,Rogers Centre,270',Retractable,"10,717",1.02,1.09,1.01,0.99,1.02,0.81,1.02,0.99,1.05,1.01,1.00,88.4,167.6
11,Citizens Bank Park,20',Open,"10,366",1.02,1.06,1.03,1.04,0.97,0.99,1.04,0.95,0.92,0.99,1.00,88.5,164.4
12,Rate Field,595',Open,"10,364",1.01,1.00,1.01,1.01,0.98,0.90,0.96,1.07,1.02,1.01,0.99,88.1,169.7
13,Kauffman Stadium,856',Open,"10,711",1.00,0.88,1.01,1.00,1.10,1.32,0.95,1.01,1.01,1.02,1.02,88.8,169.7
14,loanDepot park,10',Retractable,"10,826",1.00,0.93,1.00,0.99,1.05,1.20,0.97,1.04,1.05,1.03,1.00,88.4,161.8
15,PNC Park,780',Open,"10,594",1.00,0.88,1.02,1.01,1.14,0.90,0.98,0.99,1.00,1.03,1.00,88.8,165.8
16,Progressive Field,653',Open,"9,882",1.00,0.98,1.01,1.01,1.04,0.81,1.05,1.03,1.01,1.01,0.99,88.1,166.9
17,Tropicana Field,15',Dome,"4,599",1.00,1.06,0.98,0.96,0.98,1.12,0.99,0.97,1.05,0.96,1.01,87.5,170
18,Truist Park,1001',Open,"10,017",1.00,0.95,1.02,1.05,0.98,1.03,1.05,0.97,0.97,1.00,1.01,88.7,165.9
19,Comerica Park,600',Open,"10,308",0.99,1.00,1.00,1.01,0.94,1.13,0.98,0.97,0.96,1.00,1.00,88.6,168.6
20,Yankee Stadium,55',Open,"9,852",0.99,1.05,0.98,0.96,0.98,0.91,1.02,1.06,1.02,1.02,1.00,89.3,170.7
21,Fenway Park,21',Open,"10,480",0.99,0.88,1.01,1.03,1.04,0.83,0.98,0.98,0.93,0.99,0.99,88.2,159.3
22,Dodger Stadium,515',Open,"9,986",0.98,1.11,0.97,0.95,0.95,0.76,1.04,1.00,0.97,1.00,1.00,89,172.8
23,American Family Field,597',Retractable,"9,991",0.98,1.05,0.99,0.99,0.92,0.95,1.08,1.02,0.96,0.97,1.00,87.5,163.7
24,Citi Field,10',Open,"10,147",0.98,0.98,0.98,0.99,0.97,0.89,1.04,1.06,0.96,0.99,0.99,88.5,164.4
25,Petco Park,23',Open,"10,305",0.98,1.06,0.97,0.97,0.93,0.85,1.06,1.02,1.06,0.99,0.99,88.1,166
26,Oracle Park,',Open,"10,395",0.97,0.80,1.01,1.03,1.05,1.20,0.97,0.97,0.95,1.01,0.99,88.4,160
27,Busch Stadium,460',Open,"10,875",0.97,0.83,1.00,1.03,1.01,0.91,0.93,0.94,0.98,1.03,1.00,88.7,160.7
28,Wrigley Field,595',Open,"10,122",0.96,1.01,0.97,0.99,0.84,1.08,1.02,0.97,1.00,1.02,0.99,88.5,167.8
29,Globe Life Field,545',Retractable,"9,942",0.95,0.94,0.96,0.97,0.94,0.89,1.02,0.96,1.02,1.02,1.00,88.6,171.4
30,T-Mobile Park,10',Retractable,"9,566",0.93,0.97,0.96,0.96,0.97,0.67,1.11,0.93,0.99,1.00,0.99,88.5,166.7
