Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"12,672",1.14,1.08,1.11,1.10,1.15,1.52,0.87,1.01,1.04,1.04,1.06,88.3,174
2,Sutter Health Park,24',Open,"7,719",1.07,1.09,1.05,1.02,1.13,0.79,0.95,1.09,0.97,0.98,1.01,88,173.8
3,Great American Ball Park,535',Open,"11,605",1.03,1.11,1.01,0.98,1.03,0.87,1.00,1.05,1.01,0.98,1.00,88.2,174.7
4,Nationals Park,35',Open,"12,501",1.02,1.03,1.02,1.04,0.97,0.94,0.94,1.02,1.05,1.03,1.00,88.3,163.2
5,Oriole Park at Camden Yards,33',Open,"11,908",1.02,1.03,1.02,1.02,1.00,1.06,0.98,0.97,1.04,1.03,1.01,89.1,170.4
6,Citizens Bank Park,20',Open,"11,763",1.02,1.07,1.03,1.03,0.98,1.00,1.04,0.95,0.92,0.99,1.00,88.4,164
7,Target Field,828',Open,"12,133",1.02,0.96,1.03,1.03,1.08,0.93,0.99,0.98,1.02,1.01,1.00,88.5,174.4
8,Chase Field,1086',Retractable,"12,588",1.02,0.91,1.02,1.00,1.07,1.49,0.93,0.99,1.03,1.03,1.02,88.7,166.5
9,Daikin Park,45',Retractable,"11,638",1.02,1.11,1.01,1.00,1.00,0.95,1.08,1.02,0.96,1.01,0.99,88.2,167.3
10,Rogers Centre,270',Retractable,"12,089",1.01,1.07,1.01,0.99,1.02,0.79,1.02,0.99,1.05,1.01,0.99,88.1,166.5
11,Kauffman Stadium,856',Open,"12,305",1.01,0.90,1.01,0.99,1.09,1.29,0.93,1.01,1.02,1.02,1.02,88.7,169.9
12,Rate Field,595',Open,"11,785",1.01,1.00,1.00,1.01,0.98,0.87,0.97,1.06,1.02,1.01,0.99,88.2,169.8
13,Angel Stadium,151',Open,"11,654",1.01,1.01,1.01,1.03,0.96,0.93,1.01,1.02,0.99,1.02,1.00,88.4,167.8
14,Progressive Field,653',Open,"11,717",1.00,0.99,1.02,1.01,1.05,0.83,1.05,1.02,1.01,1.02,0.99,88,166.6
15,Truist Park,1001',Open,"11,811",1.00,0.98,1.02,1.05,0.97,1.00,1.04,0.98,0.98,1.00,1.01,88.7,167.2
16,PNC Park,780',Open,"11,956",1.00,0.87,1.02,1.01,1.14,0.87,0.97,0.99,0.99,1.02,1.00,88.6,165.6
17,Fenway Park,21',Open,"12,033",1.00,0.88,1.02,1.04,1.07,0.86,0.98,0.98,0.93,0.99,0.99,88.1,159.6
18,loanDepot park,10',Retractable,"12,116",1.00,0.92,1.00,0.99,1.03,1.21,0.97,1.04,1.03,1.03,1.00,88.2,160.9
19,Tropicana Field,15',Dome,"6,159",0.99,1.07,0.99,0.97,0.99,1.08,1.02,0.94,1.04,0.96,1.01,87.3,168.7
20,Yankee Stadium,55',Open,"11,340",0.99,1.05,0.97,0.95,1.00,0.91,1.03,1.05,1.03,1.02,1.00,89.2,171.3
21,Comerica Park,600',Open,"11,649",0.99,0.98,0.99,1.00,0.94,1.16,0.98,0.97,0.96,1.00,1.00,88.5,168.1
22,Dodger Stadium,515',Open,"11,494",0.98,1.10,0.97,0.95,0.97,0.73,1.05,1.01,0.98,1.01,1.00,88.9,172.1
23,American Family Field,597',Retractable,"11,386",0.98,1.05,0.99,0.99,0.93,0.93,1.09,1.01,0.96,0.97,1.01,87.6,164.1
24,Wrigley Field,595',Open,"11,830",0.97,1.05,0.98,1.00,0.84,1.04,1.01,0.97,1.01,1.02,0.99,88.5,169.3
25,Citi Field,10',Open,"11,660",0.97,0.97,0.98,0.99,0.96,0.90,1.04,1.06,0.97,0.98,0.99,88.4,165.3
26,Oracle Park,',Open,"11,969",0.97,0.80,1.00,1.03,1.02,1.23,0.96,0.98,0.95,1.00,0.99,88.2,160.1
27,Petco Park,23',Open,"11,679",0.97,1.04,0.97,0.97,0.91,0.82,1.05,1.02,1.04,0.98,0.99,88.1,165
28,Busch Stadium,460',Open,"12,388",0.97,0.82,0.99,1.02,1.04,0.85,0.93,0.94,0.98,1.03,1.00,88.7,161.4
29,Globe Life Field,545',Retractable,"11,626",0.96,0.95,0.97,0.98,0.96,0.99,1.01,0.95,1.02,1.02,1.00,88.5,171.5
30,T-Mobile Park,10',Retractable,"11,009",0.94,0.99,0.96,0.97,0.94,0.63,1.10,0.93,0.99,0.99,0.99,88.4,165.5
