Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"11,410",1.14,1.08,1.12,1.11,1.15,1.44,0.87,1.03,1.04,1.04,1.06,88.4,173.3
2,Sutter Health Park,24',Open,"6,529",1.07,1.07,1.05,1.02,1.12,0.84,0.95,1.09,0.96,0.98,1.01,88.2,174.6
3,Great American Ball Park,535',Open,"10,309",1.03,1.14,1.01,0.98,1.03,0.82,1.00,1.04,1.01,0.97,1.00,88,174.4
4,Oriole Park at Camden Yards,33',Open,"10,859",1.03,1.02,1.03,1.03,1.02,1.09,0.97,0.97,1.04,1.03,1.00,89.1,170.1
5,Citizens Bank Park,20',Open,"10,558",1.02,1.07,1.03,1.04,0.98,0.99,1.04,0.95,0.92,0.99,1.00,88.5,164.3
6,Target Field,828',Open,"10,831",1.02,0.98,1.03,1.03,1.07,0.91,0.99,0.97,1.04,1.01,1.01,88.5,174.6
7,Nationals Park,35',Open,"11,142",1.02,1.01,1.02,1.04,0.96,0.99,0.95,1.00,1.06,1.03,1.00,88.5,162.5
8,Angel Stadium,151',Open,"10,315",1.02,1.04,1.02,1.03,0.98,1.01,1.01,1.03,1.00,1.02,1.00,88.6,168.6
9,Chase Field,1086',Retractable,"11,232",1.02,0.91,1.02,1.00,1.10,1.44,0.93,0.98,1.03,1.04,1.02,88.9,166.1
10,Rogers Centre,270',Retractable,"10,905",1.02,1.09,1.01,0.99,1.03,0.81,1.02,0.99,1.05,1.02,1.00,88.4,167.6
11,Daikin Park,45',Retractable,"10,355",1.02,1.13,1.01,0.99,0.99,0.89,1.08,1.02,0.97,1.01,0.99,88.4,167.6
12,Rate Field,595',Open,"10,469",1.01,1.00,1.00,1.01,0.97,0.89,0.96,1.07,1.01,1.00,0.99,88.1,169.7
13,Kauffman Stadium,856',Open,"11,032",1.01,0.88,1.01,1.00,1.10,1.32,0.95,1.01,1.01,1.02,1.02,88.8,169.5
14,Progressive Field,653',Open,"10,315",1.00,0.98,1.01,1.02,1.04,0.83,1.04,1.03,1.01,1.02,0.99,88,166.3
15,PNC Park,780',Open,"10,708",1.00,0.88,1.02,1.01,1.14,0.89,0.97,0.99,1.00,1.03,1.00,88.8,165.7
16,loanDepot park,10',Retractable,"10,886",1.00,0.92,1.00,0.99,1.05,1.19,0.97,1.03,1.04,1.03,1.00,88.4,161.9
17,Truist Park,1001',Open,"10,402",1.00,0.96,1.02,1.05,0.97,1.00,1.05,0.98,0.97,1.00,1.01,88.7,165.9
18,Tropicana Field,15',Dome,"4,730",0.99,1.07,0.98,0.96,0.98,1.10,1.01,0.96,1.05,0.96,1.01,87.5,170
19,Comerica Park,600',Open,"10,407",0.99,1.00,1.00,1.01,0.94,1.13,0.99,0.97,0.96,1.00,1.00,88.6,168.5
20,Yankee Stadium,55',Open,"10,151",0.99,1.06,0.98,0.95,0.98,0.89,1.02,1.05,1.03,1.02,1.00,89.2,171.1
21,Fenway Park,21',Open,"10,676",0.99,0.88,1.01,1.03,1.04,0.83,0.98,0.98,0.93,0.99,0.99,88.2,159.1
22,Dodger Stadium,515',Open,"10,296",0.98,1.10,0.97,0.95,0.96,0.74,1.04,1.01,0.97,1.00,1.00,88.9,172.5
23,American Family Field,597',Retractable,"10,235",0.98,1.05,0.99,0.99,0.92,0.97,1.08,1.02,0.96,0.97,1.00,87.5,164
24,Citi Field,10',Open,"10,270",0.98,0.97,0.99,0.99,0.98,0.89,1.04,1.07,0.96,0.99,0.99,88.5,164.5
25,Oracle Park,',Open,"10,557",0.97,0.80,1.01,1.03,1.04,1.20,0.97,0.97,0.94,1.01,0.99,88.4,159.8
26,Petco Park,23',Open,"10,448",0.97,1.05,0.97,0.97,0.92,0.85,1.06,1.02,1.06,0.99,0.99,88.1,165.7
27,Wrigley Field,595',Open,"10,459",0.97,1.02,0.97,1.00,0.85,1.09,1.01,0.97,1.00,1.02,0.99,88.5,168.6
28,Busch Stadium,460',Open,"11,084",0.97,0.82,0.99,1.02,1.02,0.91,0.93,0.94,0.98,1.03,1.00,88.7,160.7
29,Globe Life Field,545',Retractable,"10,162",0.95,0.94,0.96,0.97,0.94,0.92,1.01,0.96,1.02,1.02,1.00,88.6,171.2
30,T-Mobile Park,10',Retractable,"9,836",0.93,0.96,0.95,0.96,0.96,0.67,1.11,0.93,0.99,0.99,0.99,88.4,166.5
