Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"11,748",1.14,1.09,1.12,1.11,1.14,1.46,0.87,1.02,1.04,1.04,1.06,88.4,173.8
2,Sutter Health Park,24',Open,"6,688",1.07,1.07,1.05,1.02,1.13,0.81,0.96,1.10,0.96,0.99,1.01,88.2,174.7
3,Great American Ball Park,535',Open,"10,555",1.03,1.13,1.01,0.98,1.03,0.83,1.00,1.04,1.01,0.97,1.00,88.1,174.7
4,Oriole Park at Camden Yards,33',Open,"11,114",1.03,1.03,1.03,1.03,1.01,1.09,0.97,0.96,1.04,1.03,1.01,89.1,170.2
5,Chase Field,1086',Retractable,"11,578",1.02,0.91,1.02,1.01,1.09,1.47,0.93,0.98,1.03,1.04,1.02,88.8,166.3
6,Target Field,828',Open,"11,081",1.02,0.98,1.03,1.03,1.07,0.89,0.99,0.97,1.03,1.01,1.01,88.5,174.8
7,Citizens Bank Park,20',Open,"10,849",1.02,1.07,1.03,1.04,0.97,0.99,1.04,0.95,0.92,0.99,1.00,88.5,164.4
8,Nationals Park,35',Open,"11,353",1.02,1.01,1.02,1.04,0.96,0.98,0.94,1.00,1.05,1.03,1.00,88.4,162.4
9,Rogers Centre,270',Retractable,"11,221",1.02,1.08,1.01,1.00,1.03,0.82,1.02,0.98,1.06,1.02,1.00,88.3,167.4
10,Daikin Park,45',Retractable,"10,643",1.01,1.12,1.01,0.99,0.99,0.89,1.08,1.02,0.97,1.01,0.99,88.3,167.7
11,Angel Stadium,151',Open,"10,579",1.01,1.03,1.02,1.03,0.98,0.99,1.01,1.03,1.00,1.02,1.00,88.6,168.4
12,Kauffman Stadium,856',Open,"11,364",1.01,0.89,1.01,0.99,1.10,1.31,0.95,1.01,1.01,1.02,1.02,88.7,169.4
13,Rate Field,595',Open,"10,705",1.00,0.99,1.00,1.01,0.97,0.91,0.97,1.07,1.01,1.01,0.99,88.1,169.5
14,Truist Park,1001',Open,"10,727",1.00,0.97,1.03,1.06,0.98,1.02,1.04,0.98,0.98,1.00,1.01,88.7,166.4
15,Progressive Field,653',Open,"10,626",1.00,0.98,1.01,1.01,1.04,0.85,1.04,1.03,1.00,1.01,0.99,88,166.8
16,PNC Park,780',Open,"10,953",1.00,0.88,1.01,1.00,1.14,0.88,0.97,0.99,1.00,1.03,1.00,88.8,166.1
17,loanDepot park,10',Retractable,"11,140",1.00,0.92,1.00,1.00,1.04,1.19,0.97,1.03,1.04,1.03,1.00,88.3,161.8
18,Tropicana Field,15',Dome,"4,995",1.00,1.07,0.99,0.96,0.99,1.12,1.01,0.95,1.05,0.96,1.01,87.5,169.5
19,Comerica Park,600',Open,"10,632",0.99,0.99,1.00,1.01,0.93,1.13,0.99,0.97,0.96,1.00,0.99,88.6,168.4
20,Fenway Park,21',Open,"11,042",0.99,0.88,1.01,1.03,1.05,0.84,0.98,0.98,0.92,0.99,0.99,88.2,159.2
21,Yankee Stadium,55',Open,"10,419",0.99,1.05,0.97,0.95,0.99,0.87,1.03,1.05,1.03,1.02,1.00,89.2,171.1
22,Dodger Stadium,515',Open,"10,495",0.98,1.10,0.97,0.95,0.96,0.73,1.04,1.01,0.97,1.00,1.00,88.9,172.5
23,American Family Field,597',Retractable,"10,511",0.98,1.05,0.99,0.99,0.92,0.95,1.08,1.02,0.96,0.97,1.00,87.5,163.9
24,Citi Field,10',Open,"10,527",0.98,0.97,0.98,0.99,0.98,0.89,1.03,1.07,0.97,0.99,0.99,88.5,164.6
25,Oracle Park,',Open,"10,820",0.97,0.80,1.00,1.03,1.04,1.17,0.97,0.97,0.94,1.00,0.99,88.3,159.8
26,Petco Park,23',Open,"10,714",0.97,1.04,0.97,0.97,0.92,0.84,1.06,1.02,1.05,0.99,0.99,88.1,165.5
27,Wrigley Field,595',Open,"10,766",0.97,1.02,0.97,1.00,0.84,1.08,1.02,0.97,1.00,1.02,0.99,88.5,168.6
28,Busch Stadium,460',Open,"11,322",0.96,0.82,0.99,1.01,1.02,0.90,0.93,0.94,0.98,1.02,1.00,88.7,160.6
29,Globe Life Field,545',Retractable,"10,569",0.96,0.95,0.97,0.98,0.95,0.94,1.01,0.96,1.02,1.02,1.00,88.5,171.5
30,T-Mobile Park,10',Retractable,"10,142",0.93,0.96,0.95,0.96,0.95,0.65,1.10,0.93,0.98,0.99,0.99,88.4,165.9
