Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"7,249",1.14,1.06,1.12,1.11,1.16,1.46,0.87,1.01,1.04,1.05,1.06,88.3,173.8
2,Sutter Health Park,24',Open,"4,691",1.07,1.09,1.05,1.01,1.13,0.83,0.95,1.09,0.95,0.99,1.01,87.7,172.2
3,Chase Field,1086',Retractable,"6,805",1.04,0.99,1.02,0.99,1.09,1.60,0.93,0.99,1.07,1.03,1.03,88.6,167.7
4,Nationals Park,35',Open,"6,287",1.03,1.02,1.02,1.04,0.98,0.94,0.94,1.02,1.02,1.04,0.99,88.1,159.1
5,Target Field,828',Open,"6,559",1.02,0.96,1.03,1.02,1.10,1.06,0.99,0.98,1.03,1.02,1.01,88.4,172.5
6,Great American Ball Park,535',Open,"7,113",1.01,1.07,1.00,0.97,1.04,0.86,1.00,1.05,0.99,0.97,1.00,88.1,174.2
7,Dodger Stadium,515',Open,"6,203",1.01,1.17,0.99,0.96,0.99,0.79,1.05,1.01,1.01,1.01,1.00,88.5,172.7
8,Angel Stadium,151',Open,"7,199",1.01,1.00,1.02,1.04,0.97,0.98,1.01,1.02,0.99,1.00,1.00,88.5,170.2
9,Oriole Park at Camden Yards,33',Open,"6,023",1.01,0.96,1.02,1.03,1.02,1.20,0.98,0.97,1.03,1.05,1.01,89.3,170.1
10,Truist Park,1001',Open,"6,404",1.01,0.95,1.04,1.06,1.01,1.05,1.04,0.98,1.00,1.03,1.01,88.6,165.2
11,Tropicana Field,15',Dome,"3,520",1.01,1.10,1.00,0.97,0.99,1.12,1.02,0.94,1.05,0.96,1.01,87.5,166.3
12,Daikin Park,45',Retractable,"7,493",1.01,1.09,1.00,0.98,1.01,1.02,1.08,1.02,0.94,0.99,0.99,87.6,163.4
13,Rogers Centre,270',Retractable,"7,097",1.01,1.06,1.01,1.01,0.99,0.79,1.02,0.99,1.05,1.03,0.99,88.5,167
14,Citizens Bank Park,20',Open,"6,574",1.00,0.99,1.03,1.04,0.99,1.07,1.04,0.95,0.88,0.99,0.99,88.1,158.3
15,Kauffman Stadium,856',Open,"6,796",1.00,0.96,0.99,0.98,1.03,1.18,0.94,1.01,1.03,1.02,1.02,88.8,168.3
16,Progressive Field,653',Open,"4,916",1.00,0.89,1.03,1.03,1.11,0.90,1.05,1.03,0.97,1.02,1.00,88.5,165
17,Rate Field,595',Open,"6,538",1.00,0.96,1.00,1.02,0.99,0.76,0.97,1.06,1.01,1.01,0.99,88.3,167.5
18,Fenway Park,21',Open,"6,401",1.00,0.91,1.03,1.06,1.00,0.86,0.98,0.98,0.93,0.99,0.99,87.6,155.8
19,Petco Park,23',Open,"6,500",0.99,1.08,0.99,0.99,0.91,0.85,1.05,1.02,1.04,0.99,0.99,88.4,163.5
20,Comerica Park,600',Open,"6,269",0.99,1.01,0.99,1.00,0.95,0.81,0.98,0.97,0.96,0.99,1.00,88.4,165.5
21,PNC Park,780',Open,"6,886",0.98,0.82,1.01,1.03,1.08,0.87,0.97,0.99,0.95,1.03,1.00,88,159
22,American Family Field,597',Retractable,"6,344",0.98,1.07,0.99,0.99,0.94,0.78,1.09,1.01,0.97,0.98,1.01,88,166.1
23,loanDepot park,10',Retractable,"6,643",0.98,0.88,0.99,0.98,1.04,1.17,0.97,1.04,1.01,1.01,0.99,87.9,156.2
24,Yankee Stadium,55',Open,"5,769",0.98,1.04,0.96,0.94,0.96,1.02,1.03,1.05,1.02,1.03,1.00,89.1,169.9
25,Wrigley Field,595',Open,"6,970",0.97,1.08,0.97,0.98,0.86,0.95,1.01,0.97,1.01,1.02,0.99,88.3,167.5
26,Busch Stadium,460',Open,"6,771",0.97,0.85,1.00,1.01,1.04,0.85,0.93,0.94,0.97,1.03,1.00,88.8,161.5
27,Citi Field,10',Open,"6,382",0.97,0.99,0.97,0.96,0.96,1.06,1.04,1.06,1.00,1.00,0.99,88.2,164.7
28,Oracle Park,',Open,"6,759",0.97,0.82,1.00,1.02,1.01,1.22,0.96,0.98,0.93,1.00,0.99,88.1,161.9
29,Globe Life Field,545',Retractable,"6,423",0.96,0.94,0.97,0.98,0.96,1.00,1.01,0.96,1.03,1.03,1.00,88.4,170.4
30,T-Mobile Park,10',Retractable,"5,446",0.91,0.95,0.94,0.96,0.89,0.73,1.10,0.93,0.97,0.96,1.00,88.1,161
