Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"7,064",1.15,1.07,1.13,1.11,1.16,1.45,0.87,1.02,1.05,1.05,1.06,88.3,173.8
2,Sutter Health Park,24',Open,"4,317",1.08,1.09,1.05,1.02,1.13,0.82,0.96,1.10,0.95,0.99,1.01,87.8,172.4
3,Chase Field,1086',Retractable,"6,458",1.05,1.00,1.03,1.00,1.10,1.56,0.93,0.99,1.08,1.04,1.03,88.8,167.9
4,Angel Stadium,151',Open,"6,802",1.02,1.01,1.03,1.05,0.99,1.00,1.01,1.03,0.99,1.00,1.00,88.6,170.5
5,Target Field,828',Open,"6,182",1.02,0.97,1.02,1.01,1.10,1.03,0.99,0.98,1.03,1.01,1.01,88.4,172
6,Nationals Park,35',Open,"5,939",1.02,0.99,1.02,1.03,0.98,0.95,0.94,1.00,1.03,1.04,0.99,88.1,159
7,Oriole Park at Camden Yards,33',Open,"5,872",1.02,0.96,1.02,1.03,1.02,1.21,0.97,0.97,1.03,1.05,1.01,89.3,170.4
8,Rogers Centre,270',Retractable,"6,754",1.01,1.07,1.02,1.01,0.99,0.81,1.02,0.98,1.06,1.04,0.99,88.7,167.1
9,Truist Park,1001',Open,"6,089",1.01,0.94,1.04,1.07,1.02,1.07,1.04,0.98,1.00,1.03,1.01,88.7,164.3
10,Great American Ball Park,535',Open,"6,784",1.01,1.07,0.99,0.97,1.04,0.80,1.00,1.05,0.99,0.97,1.00,88.1,174.1
11,Dodger Stadium,515',Open,"5,867",1.01,1.17,0.99,0.95,0.98,0.82,1.04,1.01,1.02,1.01,1.00,88.5,173.9
12,Daikin Park,45',Retractable,"7,137",1.00,1.09,1.00,0.98,1.00,0.96,1.08,1.02,0.95,1.00,0.99,87.6,163.2
13,Tropicana Field,15',Dome,"3,147",1.00,1.09,0.99,0.96,1.00,1.13,1.02,0.94,1.06,0.97,1.01,87.5,166.8
14,Citizens Bank Park,20',Open,"6,397",1.00,0.99,1.02,1.04,0.98,1.09,1.05,0.96,0.88,0.99,0.99,88.1,158.6
15,Kauffman Stadium,856',Open,"6,535",1.00,0.95,0.99,0.98,1.05,1.16,0.94,1.01,1.03,1.01,1.02,88.9,168
16,Progressive Field,653',Open,"4,669",1.00,0.89,1.03,1.04,1.10,0.92,1.04,1.03,0.96,1.01,1.00,88.4,164.9
17,Rate Field,595',Open,"6,260",0.99,0.94,1.00,1.02,0.99,0.79,0.97,1.07,1.00,1.01,0.99,88.3,167
18,Fenway Park,21',Open,"6,106",0.99,0.91,1.03,1.06,0.99,0.85,0.98,0.98,0.91,0.99,0.99,87.7,155.5
19,Petco Park,23',Open,"6,231",0.99,1.09,0.99,0.99,0.93,0.89,1.05,1.02,1.05,1.00,0.99,88.4,163.7
20,Comerica Park,600',Open,"5,964",0.99,1.03,0.99,1.01,0.94,0.81,0.99,0.97,0.97,0.99,1.00,88.5,166.1
21,PNC Park,780',Open,"6,663",0.99,0.83,1.02,1.03,1.08,0.88,0.97,0.98,0.95,1.03,1.00,88.1,159.5
22,loanDepot park,10',Retractable,"6,409",0.98,0.88,0.99,0.98,1.05,1.18,0.97,1.04,1.01,1.01,0.99,87.9,156.7
23,American Family Field,597',Retractable,"6,142",0.98,1.07,0.99,0.99,0.94,0.78,1.09,1.01,0.97,0.98,1.01,88,166.1
24,Yankee Stadium,55',Open,"5,448",0.98,1.04,0.97,0.95,0.97,0.98,1.03,1.05,1.03,1.03,1.00,89.2,170
25,Oracle Park,',Open,"6,451",0.98,0.83,1.00,1.03,1.02,1.21,0.96,0.98,0.93,1.01,0.99,88.3,162
26,Citi Field,10',Open,"6,062",0.97,0.99,0.97,0.96,0.96,1.00,1.04,1.06,0.99,1.00,0.99,88.3,164.5
27,Busch Stadium,460',Open,"6,570",0.97,0.84,0.99,1.01,1.03,0.87,0.93,0.94,0.97,1.02,1.00,88.7,160.5
28,Wrigley Field,595',Open,"6,551",0.96,1.05,0.96,0.98,0.83,0.96,1.01,0.97,1.00,1.02,0.99,88.3,167.3
29,Globe Life Field,545',Retractable,"6,134",0.96,0.94,0.97,0.98,0.95,0.97,1.01,0.96,1.02,1.03,1.01,88.4,170.4
30,T-Mobile Park,10',Retractable,"5,278",0.91,0.94,0.94,0.95,0.89,0.76,1.10,0.93,0.97,0.96,1.00,88.1,161.2
