Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"11,748",1.14,1.09,1.12,1.11,1.14,1.46,0.87,1.02,1.05,1.04,1.06,88.4,173.8
2,Sutter Health Park,24',Open,"6,688",1.07,1.07,1.05,1.02,1.14,0.81,0.95,1.10,0.97,0.99,1.01,88.2,174.7
3,Great American Ball Park,535',Open,"10,555",1.03,1.13,1.01,0.98,1.03,0.84,1.00,1.04,1.01,0.97,1.00,88.1,174.7
4,Oriole Park at Camden Yards,33',Open,"11,276",1.02,1.03,1.03,1.02,1.01,1.07,0.97,0.97,1.04,1.03,1.01,89.1,170.1
5,Chase Field,1086',Retractable,"11,578",1.02,0.92,1.02,1.01,1.09,1.46,0.93,0.98,1.03,1.04,1.02,88.8,166.3
6,Target Field,828',Open,"11,229",1.02,0.98,1.03,1.03,1.08,0.91,0.99,0.98,1.03,1.01,1.01,88.5,174.6
7,Nationals Park,35',Open,"11,527",1.02,1.01,1.02,1.04,0.96,0.98,0.94,1.00,1.05,1.03,1.00,88.4,162.7
8,Citizens Bank Park,20',Open,"10,980",1.02,1.07,1.03,1.04,0.97,0.99,1.05,0.95,0.92,0.99,1.00,88.5,164.3
9,Rogers Centre,270',Retractable,"11,265",1.02,1.08,1.01,0.99,1.03,0.81,1.02,0.98,1.06,1.02,1.00,88.3,167.4
10,Daikin Park,45',Retractable,"10,643",1.01,1.12,1.01,0.99,0.99,0.90,1.08,1.02,0.97,1.01,0.99,88.3,167.7
11,Angel Stadium,151',Open,"10,579",1.01,1.03,1.02,1.02,0.98,0.98,1.01,1.02,1.00,1.02,1.00,88.6,168.4
12,Kauffman Stadium,856',Open,"11,364",1.01,0.89,1.01,0.99,1.10,1.32,0.94,1.01,1.02,1.02,1.02,88.7,169.4
13,Rate Field,595',Open,"10,859",1.01,1.00,1.00,1.01,0.96,0.90,0.97,1.07,1.01,1.01,0.99,88.2,169.7
14,Truist Park,1001',Open,"10,772",1.00,0.97,1.03,1.05,0.97,1.01,1.04,0.98,0.98,1.00,1.01,88.7,166.4
15,Progressive Field,653',Open,"10,681",1.00,0.98,1.01,1.01,1.04,0.85,1.04,1.03,1.01,1.02,0.99,88,166.5
16,PNC Park,780',Open,"11,114",1.00,0.88,1.01,1.01,1.14,0.88,0.97,0.99,1.00,1.02,1.00,88.8,166.2
17,loanDepot park,10',Retractable,"11,297",1.00,0.92,1.00,1.00,1.04,1.18,0.97,1.03,1.03,1.03,1.00,88.3,161.5
18,Tropicana Field,15',Dome,"5,139",0.99,1.06,0.98,0.96,1.00,1.12,1.01,0.95,1.05,0.96,1.01,87.4,169.2
19,Comerica Park,600',Open,"10,836",0.99,0.99,1.00,1.01,0.93,1.12,0.99,0.97,0.96,1.00,1.00,88.5,168.3
20,Fenway Park,21',Open,"11,191",0.99,0.88,1.02,1.04,1.05,0.83,0.98,0.98,0.92,0.99,0.99,88.2,159.3
21,Yankee Stadium,55',Open,"10,419",0.99,1.05,0.97,0.95,0.99,0.87,1.02,1.05,1.03,1.02,1.00,89.2,171.1
22,Dodger Stadium,515',Open,"10,495",0.98,1.11,0.97,0.95,0.96,0.73,1.04,1.01,0.97,1.00,1.00,88.9,172.5
23,American Family Field,597',Retractable,"10,670",0.98,1.05,0.99,0.99,0.93,0.96,1.08,1.02,0.96,0.97,1.00,87.5,164.1
24,Citi Field,10',Open,"10,671",0.98,0.97,0.98,0.99,0.98,0.90,1.03,1.07,0.96,0.98,0.99,88.5,164.7
25,Oracle Park,',Open,"10,974",0.97,0.80,1.00,1.03,1.04,1.19,0.97,0.98,0.94,1.00,0.99,88.3,160
26,Petco Park,23',Open,"10,714",0.97,1.04,0.97,0.97,0.92,0.84,1.06,1.02,1.05,0.99,0.99,88.1,165.5
27,Wrigley Field,595',Open,"10,766",0.97,1.02,0.97,1.00,0.84,1.07,1.01,0.97,1.00,1.02,0.99,88.5,168.6
28,Busch Stadium,460',Open,"11,539",0.96,0.82,0.99,1.02,1.02,0.90,0.93,0.94,0.98,1.02,1.00,88.7,160.7
29,Globe Life Field,545',Retractable,"10,729",0.96,0.95,0.97,0.98,0.95,0.95,1.01,0.96,1.01,1.02,1.00,88.5,171.5
30,T-Mobile Park,10',Retractable,"10,142",0.93,0.96,0.95,0.96,0.95,0.65,1.10,0.93,0.99,0.99,0.99,88.4,165.9
