Matchup,BAL @ LAA
Pitcher,Samuel Aldegheri
Pitcher Team,LAA
Opposing Team,BAL

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,2.0,2.00,="4-10",.400,.500,0.100,0,1,0,0,9.1,0,.455,.955
Batting Second,2.1,1.29,="1-8",.125,.125,0.000,0,0,0,2,10.0,2,.300,.425
Batting Third,2.2,1.13,="2-9",.222,.556,0.334,1,0,0,4,30.0,1,.300,.856
Batting Fourth,1.2,3.00,="3-8",.375,.625,0.250,0,2,0,1,20.0,2,.500,1.125
Batting Fifth,2.0,2.00,="2-7",.286,.714,0.428,1,0,0,2,0.0,2,.400,1.114
Batting Sixth,2.1,1.29,="2-9",.222,.222,0.000,0,0,0,0,10.0,1,.300,.522
Batting Seventh,2.1,1.71,="1-8",.125,.250,0.125,0,1,0,0,9.1,3,.364,.614
Batting Eighth,3.0,0.00,="0-10",.000,.000,0.000,0,0,0,1,30.0,0,.000,.000
Batting Ninth,1.2,3.00,="5-9",.556,.778,0.222,0,0,1,2,11.1,0,.556,1.334

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Taylor Ward RHB,Batting First ​,="52-211",.246,.346,0.100,4,9,0,18,20.6,37,.361,.707
Michael Siani LHB,Batting First ​,="0-1",.000,.000,0.000,0,0,0,0,0.0,0,.000,.000
Gunnar Henderson LHB,Batting Second ​,="50-216",.231,.440,0.209,12,9,0,28,21.8,22,.313,.753
Pete Alonso RHB,Batting Fourth ​,="47-184",.255,.489,0.234,12,7,0,35,20.7,22,.337,.826
Tyler O'Neill RHB,Batting Fifth ​,="6-45",.133,.133,0.000,0,0,0,1,25.0,6,.250,.383
Samuel Basallo LHB,Batting Fifth ​,="34-143",.238,.364,0.126,3,7,1,17,25.3,13,.297,.661
Leody Taveras SHB,Batting Sixth ​,="28-111",.252,.351,0.099,1,6,1,11,21.4,10,.320,.671
Colton Cowser LHB,Batting Seventh ​,="21-94",.223,.319,0.096,3,0,0,13,28.8,13,.318,.637
Coby Mayo RHB,Batting Eighth ​,="15-83",.181,.277,0.096,2,2,0,10,33.0,7,.253,.530
Sam Huff RHB,Batting Ninth ​,="2-9",.222,.333,0.111,0,1,0,0,33.3,0,.222,.555
Jeremiah Jackson RHB,Batting Ninth ​,="19-78",.244,.372,0.128,2,4,0,12,18.3,2,.256,.628
Blaze Alexander RHB,Batting Ninth ​,="35-124",.282,.347,0.065,0,8,0,9,27.0,8,.328,.675
Jackson Holliday LHB,Batting Ninth ​,="9-37",.243,.459,0.216,2,2,0,5,21.4,4,.310,.769
