Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"7,186",1.14,1.07,1.12,1.11,1.17,1.46,0.87,1.01,1.04,1.05,1.06,88.3,173.9
2,Sutter Health Park,24',Open,"4,610",1.08,1.11,1.05,1.01,1.14,0.84,0.95,1.09,0.96,0.99,1.01,87.7,172.7
3,Chase Field,1086',Retractable,"6,736",1.04,0.99,1.02,1.00,1.09,1.60,0.92,0.99,1.07,1.03,1.03,88.7,167.9
4,Nationals Park,35',Open,"6,125",1.03,1.02,1.02,1.03,0.99,0.96,0.94,1.01,1.03,1.04,0.99,88.1,159.6
5,Target Field,828',Open,"6,402",1.02,0.96,1.03,1.02,1.10,1.05,0.99,0.98,1.03,1.02,1.01,88.4,172.4
6,Angel Stadium,151',Open,"7,042",1.02,1.00,1.03,1.05,0.97,0.98,1.01,1.02,0.98,1.00,1.00,88.5,170.5
7,Tropicana Field,15',Dome,"3,354",1.01,1.11,1.01,0.97,1.00,1.12,1.02,0.94,1.06,0.97,1.02,87.5,166
8,Truist Park,1001',Open,"6,309",1.01,0.96,1.04,1.06,1.02,1.06,1.04,0.98,1.00,1.03,1.01,88.6,165.2
9,Great American Ball Park,535',Open,"7,027",1.01,1.08,0.99,0.97,1.04,0.81,1.00,1.05,1.00,0.97,1.00,88.1,174.1
10,Rogers Centre,270',Retractable,"7,025",1.01,1.06,1.02,1.02,0.99,0.79,1.02,0.99,1.05,1.03,0.99,88.5,166.8
11,Oriole Park at Camden Yards,33',Open,"5,994",1.01,0.95,1.02,1.03,1.02,1.20,0.97,0.97,1.03,1.05,1.01,89.3,170
12,Daikin Park,45',Retractable,"7,386",1.01,1.09,1.00,0.98,1.01,1.01,1.08,1.02,0.95,1.00,0.99,87.6,163.2
13,Dodger Stadium,515',Open,"6,105",1.00,1.15,0.99,0.95,0.98,0.79,1.05,1.01,1.01,1.01,1.00,88.5,172.7
14,Citizens Bank Park,20',Open,"6,574",1.00,0.99,1.03,1.04,0.98,1.07,1.04,0.95,0.88,0.99,0.99,88.1,158.3
15,Progressive Field,653',Open,"4,789",1.00,0.90,1.03,1.04,1.10,0.92,1.05,1.03,0.97,1.02,1.00,88.5,165.1
16,Kauffman Stadium,856',Open,"6,730",1.00,0.96,0.99,0.98,1.04,1.17,0.94,1.01,1.03,1.02,1.02,88.9,167.9
17,Rate Field,595',Open,"6,538",1.00,0.96,1.00,1.02,1.00,0.77,0.97,1.06,1.01,1.02,0.99,88.3,167.5
18,Fenway Park,21',Open,"6,316",1.00,0.91,1.03,1.06,1.00,0.87,0.98,0.98,0.92,0.99,0.99,87.6,155.9
19,Comerica Park,600',Open,"6,203",1.00,1.03,1.00,1.00,0.96,0.81,0.98,0.97,0.97,1.00,1.00,88.4,165.4
20,Petco Park,23',Open,"6,500",0.99,1.08,0.99,0.99,0.92,0.87,1.05,1.02,1.05,0.99,0.99,88.4,163.5
21,PNC Park,780',Open,"6,819",0.98,0.83,1.01,1.03,1.08,0.87,0.97,0.99,0.95,1.03,1.00,88.1,159.3
22,American Family Field,597',Retractable,"6,267",0.98,1.07,0.99,0.99,0.94,0.78,1.09,1.01,0.97,0.99,1.01,88,166
23,loanDepot park,10',Retractable,"6,643",0.98,0.88,0.99,0.98,1.04,1.17,0.97,1.04,1.01,1.01,0.99,87.9,156.2
24,Yankee Stadium,55',Open,"5,662",0.98,1.04,0.97,0.94,0.97,1.01,1.03,1.05,1.03,1.03,1.00,89.2,169.7
25,Oracle Park,',Open,"6,684",0.98,0.82,1.00,1.03,1.01,1.22,0.96,0.98,0.93,1.00,0.99,88.2,162
26,Citi Field,10',Open,"6,304",0.97,1.00,0.97,0.97,0.95,1.06,1.04,1.06,1.00,1.00,0.99,88.2,164.9
27,Busch Stadium,460',Open,"6,697",0.97,0.85,0.99,1.01,1.04,0.86,0.93,0.94,0.98,1.03,1.00,88.8,161.1
28,Wrigley Field,595',Open,"6,714",0.96,1.06,0.96,0.98,0.84,0.95,1.01,0.97,1.01,1.02,0.99,88.3,167.2
29,Globe Life Field,545',Retractable,"6,288",0.96,0.94,0.97,0.98,0.96,1.02,1.01,0.95,1.03,1.03,1.01,88.4,170.5
30,T-Mobile Park,10',Retractable,"5,419",0.91,0.95,0.94,0.96,0.89,0.73,1.10,0.93,0.97,0.96,1.00,88,161.2
