Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"7,117",1.14,1.07,1.12,1.11,1.16,1.46,0.87,1.01,1.05,1.05,1.06,88.3,173.9
2,Sutter Health Park,24',Open,"4,501",1.08,1.11,1.05,1.01,1.13,0.80,0.95,1.09,0.96,0.99,1.01,87.7,172.5
3,Chase Field,1086',Retractable,"6,531",1.05,0.99,1.03,1.00,1.09,1.61,0.93,0.99,1.08,1.04,1.03,88.8,167.9
4,Nationals Park,35',Open,"6,034",1.02,1.00,1.02,1.03,0.99,0.95,0.94,1.00,1.03,1.04,0.99,88.1,159.4
5,Target Field,828',Open,"6,378",1.02,0.96,1.03,1.02,1.10,1.05,0.99,0.98,1.03,1.02,1.01,88.4,172.4
6,Angel Stadium,151',Open,"6,964",1.02,1.00,1.03,1.05,0.98,0.99,1.01,1.02,0.98,1.00,1.00,88.5,170.4
7,Oriole Park at Camden Yards,33',Open,"5,893",1.02,0.96,1.02,1.03,1.02,1.21,0.97,0.97,1.03,1.05,1.01,89.3,170.3
8,Truist Park,1001',Open,"6,244",1.01,0.96,1.04,1.06,1.02,1.06,1.04,0.98,1.00,1.03,1.01,88.7,165.2
9,Rogers Centre,270',Retractable,"6,942",1.01,1.07,1.02,1.02,0.99,0.80,1.02,0.99,1.06,1.04,0.99,88.5,166.8
10,Great American Ball Park,535',Open,"6,970",1.01,1.07,0.99,0.97,1.04,0.81,1.00,1.05,0.99,0.97,1.00,88.1,174
11,Dodger Stadium,515',Open,"6,050",1.01,1.16,0.99,0.96,0.98,0.80,1.04,1.01,1.01,1.01,1.00,88.5,173.1
12,Daikin Park,45',Retractable,"7,254",1.01,1.09,1.00,0.98,1.01,1.03,1.08,1.02,0.95,1.00,0.99,87.6,163.3
13,Tropicana Field,15',Dome,"3,297",1.01,1.10,1.00,0.97,0.99,1.12,1.01,0.94,1.05,0.97,1.01,87.5,166.3
14,Progressive Field,653',Open,"4,764",1.00,0.90,1.03,1.03,1.11,0.92,1.05,1.03,0.97,1.02,1.00,88.5,165
15,Kauffman Stadium,856',Open,"6,586",1.00,0.95,0.99,0.98,1.05,1.16,0.94,1.01,1.03,1.02,1.02,88.9,168
16,Citizens Bank Park,20',Open,"6,454",1.00,0.99,1.02,1.04,0.98,1.07,1.05,0.96,0.88,0.99,0.99,88.1,158.2
17,Comerica Park,600',Open,"6,127",1.00,1.04,1.00,1.00,0.96,0.80,0.98,0.97,0.97,1.00,1.00,88.5,166
18,Rate Field,595',Open,"6,348",1.00,0.94,1.00,1.02,0.99,0.79,0.97,1.06,1.00,1.01,0.99,88.3,167.5
19,Petco Park,23',Open,"6,318",0.99,1.09,0.99,0.99,0.92,0.88,1.05,1.02,1.05,0.99,0.99,88.4,163.5
20,Fenway Park,21',Open,"6,183",0.99,0.91,1.03,1.06,0.99,0.85,0.98,0.98,0.92,0.99,0.99,87.7,155.6
21,loanDepot park,10',Retractable,"6,475",0.99,0.89,0.99,0.98,1.05,1.18,0.97,1.03,1.01,1.01,0.99,88,156.7
22,PNC Park,780',Open,"6,800",0.99,0.83,1.02,1.04,1.08,0.87,0.97,0.98,0.95,1.03,1.00,88.1,159.3
23,American Family Field,597',Retractable,"6,170",0.98,1.07,0.99,0.99,0.94,0.79,1.09,1.01,0.97,0.98,1.01,88,166.1
24,Yankee Stadium,55',Open,"5,501",0.98,1.05,0.97,0.95,0.97,0.98,1.03,1.05,1.03,1.03,1.00,89.2,169.8
25,Oracle Park,',Open,"6,589",0.98,0.82,1.00,1.03,1.02,1.22,0.96,0.98,0.93,1.00,0.99,88.2,161.8
26,Citi Field,10',Open,"6,191",0.97,1.00,0.97,0.96,0.95,1.05,1.04,1.06,1.00,1.00,0.99,88.3,165.1
27,Busch Stadium,460',Open,"6,627",0.97,0.84,0.99,1.01,1.03,0.85,0.93,0.94,0.97,1.02,1.00,88.7,160.7
28,Wrigley Field,595',Open,"6,692",0.96,1.06,0.96,0.98,0.83,0.95,1.01,0.97,1.00,1.02,0.99,88.3,167.2
29,Globe Life Field,545',Retractable,"6,158",0.96,0.94,0.97,0.99,0.95,0.97,1.01,0.96,1.02,1.03,1.01,88.4,170.4
30,T-Mobile Park,10',Retractable,"5,278",0.91,0.94,0.94,0.95,0.90,0.74,1.10,0.93,0.97,0.96,1.00,88.1,161.2
