Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"4,822",1.13,1.13,1.10,1.09,1.09,1.32,0.87,1.02,1.06,1.03,1.07,88.6,173.5
2,Sutter Health Park,24',Open,"2,616",1.05,1.01,1.04,1.03,1.07,0.88,0.96,1.10,0.98,0.98,1.01,88.7,176.5
3,Great American Ball Park,535',Open,"4,077",1.05,1.15,1.03,1.00,1.01,0.91,1.00,1.04,1.02,0.98,1.00,88.1,176
4,Oriole Park at Camden Yards,33',Open,"5,539",1.02,1.08,1.02,1.01,0.99,0.95,0.97,0.97,1.02,1.01,1.00,88.9,170.2
5,Daikin Park,45',Retractable,"3,707",1.02,1.11,1.03,1.02,0.96,0.92,1.08,1.02,0.99,1.04,1.00,89.5,175.7
6,Citizens Bank Park,20',Open,"4,758",1.02,1.10,1.03,1.02,0.97,0.91,1.05,0.95,0.96,0.98,1.01,88.8,171.4
7,Rate Field,595',Open,"4,822",1.02,1.04,1.00,1.01,0.96,1.02,0.97,1.07,1.02,1.01,0.99,87.9,172.1
8,Target Field,828',Open,"5,142",1.02,0.97,1.03,1.05,1.02,0.88,0.99,0.98,1.00,1.01,1.01,88.5,177.2
9,Nationals Park,35',Open,"5,796",1.01,1.01,1.01,1.03,0.95,0.98,0.94,1.01,1.05,1.01,1.00,88.6,166.6
10,PNC Park,780',Open,"4,697",1.01,0.95,1.01,0.97,1.18,0.93,0.97,0.98,1.03,1.02,1.01,89.6,175.2
11,Rogers Centre,270',Retractable,"4,608",1.01,1.06,1.00,0.97,1.07,0.88,1.02,0.98,1.04,1.00,1.00,87.8,167.4
12,Kauffman Stadium,856',Open,"4,995",1.01,0.84,1.02,1.02,1.12,1.30,0.94,1.01,0.97,1.02,1.01,88.5,171.3
13,Progressive Field,653',Open,"6,142",1.00,1.05,1.00,1.00,0.99,0.84,1.04,1.03,1.04,1.02,0.99,87.7,168
14,loanDepot park,10',Retractable,"5,090",1.00,0.95,1.01,1.01,1.01,1.12,0.97,1.03,1.02,1.04,1.00,88.8,167.1
15,Angel Stadium,151',Open,"3,977",0.99,1.03,0.99,0.99,0.97,0.95,1.01,1.02,1.00,1.04,1.00,88.6,165.3
16,Yankee Stadium,55',Open,"5,070",0.99,1.03,0.99,0.97,1.01,0.84,1.02,1.05,1.01,1.01,1.00,89.2,172
17,Truist Park,1001',Open,"4,837",0.99,1.00,1.01,1.03,0.93,0.96,1.04,0.98,0.96,0.97,1.02,88.8,169.1
18,Chase Field,1086',Retractable,"5,320",0.99,0.83,1.01,1.01,1.05,1.28,0.93,0.99,0.96,1.04,1.02,88.9,164.7
19,Comerica Park,600',Open,"5,038",0.98,0.96,1.00,1.01,0.93,1.26,0.98,0.97,0.95,1.02,1.00,88.7,171.7
20,Citi Field,10',Open,"4,793",0.98,0.93,0.99,1.01,0.99,0.86,1.03,1.07,0.92,0.98,0.99,88.7,165.2
21,Fenway Park,21',Open,"5,264",0.98,0.84,1.00,1.00,1.12,0.86,0.98,0.97,0.92,0.99,0.99,88.6,163.8
22,Wrigley Field,595',Open,"4,430",0.98,0.97,1.00,1.03,0.89,1.12,1.01,0.97,0.98,1.01,0.99,88.8,171.1
23,American Family Field,597',Retractable,"4,678",0.97,1.01,0.99,1.00,0.93,1.08,1.09,1.02,0.96,0.97,1.01,87,161.6
24,Globe Life Field,545',Retractable,"4,786",0.97,0.96,0.98,0.98,0.97,0.98,1.01,0.96,0.99,1.00,1.00,88.7,173.3
25,Busch Stadium,460',Open,"5,234",0.97,0.82,0.99,1.02,1.02,0.93,0.93,0.94,0.98,1.02,1.00,88.7,161.3
26,Oracle Park,',Open,"4,722",0.97,0.79,1.00,1.03,1.03,1.12,0.97,0.98,0.93,1.00,0.99,88.3,156.2
27,Dodger Stadium,515',Open,"4,823",0.96,1.02,0.96,0.95,0.95,0.76,1.04,1.01,0.94,1.00,1.01,89.4,171.3
28,Tropicana Field,15',Dome,"2,146",0.96,0.96,0.97,0.95,0.98,1.05,1.01,0.95,0.97,0.96,1.00,87.4,172.9
29,T-Mobile Park,10',Retractable,"5,065",0.95,0.98,0.98,0.97,1.00,0.70,1.10,0.93,1.00,1.03,0.99,88.7,170.4
30,Petco Park,23',Open,"4,770",0.95,0.96,0.96,0.97,0.93,0.85,1.06,1.02,1.02,0.99,0.99,87.7,167.6
