Bat Side,L
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"4,305",1.13,1.11,1.10,1.09,1.10,1.30,0.87,1.03,1.05,1.03,1.08,88.7,174.3
2,Great American Ball Park,535',Open,"3,800",1.06,1.16,1.04,1.02,1.02,0.88,1.00,1.04,1.02,0.98,1.00,88,175
3,Sutter Health Park,24',Open,"2,369",1.04,0.99,1.03,1.02,1.08,0.93,0.96,1.09,0.97,0.98,1.00,88.7,176.5
4,Rate Field,595',Open,"4,402",1.02,1.06,1.00,1.00,0.98,1.01,0.96,1.07,1.03,1.01,1.00,87.9,173.5
5,Daikin Park,45',Retractable,"3,447",1.02,1.11,1.03,1.02,0.96,0.94,1.08,1.02,0.98,1.03,1.00,89.6,175.8
6,Target Field,828',Open,"4,740",1.02,1.00,1.03,1.06,1.01,0.84,1.00,0.97,1.02,1.01,1.01,88.5,177.2
7,Citizens Bank Park,20',Open,"4,434",1.02,1.11,1.03,1.03,0.95,0.92,1.04,0.95,0.96,0.98,1.01,88.9,171.3
8,Oriole Park at Camden Yards,33',Open,"5,144",1.02,1.08,1.02,1.00,0.98,0.98,0.97,0.97,1.03,1.01,1.00,89,170.4
9,Nationals Park,35',Open,"5,265",1.01,0.99,1.01,1.03,0.96,0.99,0.94,1.00,1.04,1.01,1.00,88.6,165.2
10,PNC Park,780',Open,"4,220",1.01,0.95,1.01,0.97,1.16,0.93,0.97,0.99,1.03,1.02,1.01,89.7,173.5
11,Rogers Centre,270',Retractable,"4,226",1.01,1.05,1.00,0.97,1.07,0.87,1.02,0.98,1.02,0.99,1.00,87.9,167.5
12,Kauffman Stadium,856',Open,"4,676",1.01,0.83,1.02,1.01,1.13,1.29,0.95,1.01,0.98,1.02,1.01,88.5,171.5
13,loanDepot park,10',Retractable,"4,661",1.00,0.95,1.00,1.00,1.01,1.09,0.97,1.04,1.02,1.04,1.00,88.8,167.2
14,Angel Stadium,151',Open,"3,685",1.00,1.03,0.99,0.98,0.99,0.96,1.00,1.03,1.00,1.04,1.00,88.6,165
15,Progressive Field,653',Open,"5,546",1.00,1.06,1.00,0.99,0.98,0.82,1.05,1.03,1.03,1.02,0.99,87.8,169
16,Comerica Park,600',Open,"4,591",0.99,0.97,1.01,1.01,0.94,1.28,0.98,0.97,0.96,1.02,1.00,88.7,171.1
17,Yankee Stadium,55',Open,"4,735",0.99,1.03,0.98,0.97,0.99,0.87,1.02,1.05,0.99,1.01,1.00,89.2,170.9
18,Chase Field,1086',Retractable,"4,983",0.98,0.82,1.00,1.01,1.06,1.28,0.93,0.98,0.95,1.03,1.02,88.9,164.7
19,Citi Field,10',Open,"4,354",0.98,0.93,0.99,1.01,0.98,0.87,1.04,1.06,0.91,0.98,0.99,88.7,164.4
20,American Family Field,597',Retractable,"4,331",0.98,1.01,0.99,1.00,0.92,1.08,1.08,1.02,0.95,0.97,1.01,87,161
21,Truist Park,1001',Open,"4,427",0.98,0.97,1.00,1.03,0.94,0.98,1.05,0.97,0.95,0.97,1.02,88.8,168.8
22,Busch Stadium,460',Open,"4,736",0.98,0.86,1.00,1.03,1.00,0.95,0.93,0.93,0.98,1.02,1.00,88.7,162.1
23,Fenway Park,21',Open,"4,896",0.98,0.84,1.00,1.00,1.10,0.85,0.98,0.98,0.92,0.99,0.99,88.7,163.9
24,Wrigley Field,595',Open,"4,182",0.97,0.95,1.00,1.03,0.89,1.14,1.02,0.97,0.98,1.01,0.99,88.8,170.3
25,Oracle Park,',Open,"4,266",0.97,0.80,1.00,1.02,1.04,1.13,0.97,0.97,0.94,1.00,0.99,88.4,156.1
26,Dodger Stadium,515',Open,"4,522",0.96,1.02,0.96,0.95,0.95,0.79,1.04,1.00,0.94,1.00,1.01,89.5,171.2
27,Globe Life Field,545',Retractable,"4,391",0.96,0.97,0.97,0.97,0.95,0.95,1.02,0.96,1.01,1.01,1.00,88.9,174
28,Tropicana Field,15',Dome,"1,625",0.96,0.94,0.97,0.97,0.95,1.04,1.00,0.99,0.96,0.96,1.00,87.4,172.2
29,Petco Park,23',Open,"4,449",0.96,0.98,0.96,0.97,0.95,0.82,1.06,1.01,1.04,1.00,0.99,87.8,169
30,T-Mobile Park,10',Retractable,"4,736",0.96,0.98,0.98,0.97,1.03,0.72,1.11,0.93,1.00,1.03,0.99,88.9,171.4
