Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"10,696",1.14,1.08,1.12,1.12,1.14,1.41,0.87,1.03,1.03,1.04,1.06,88.5,173.5
2,Sutter Health Park,24',Open,"5,886",1.05,1.02,1.04,1.02,1.11,0.89,0.95,1.08,0.94,0.98,1.01,88.2,173.9
3,Great American Ball Park,535',Open,"9,887",1.04,1.17,1.02,0.98,1.04,0.79,1.00,1.04,1.03,0.97,1.00,88,174.6
4,Oriole Park at Camden Yards,33',Open,"10,518",1.03,1.03,1.03,1.03,1.01,1.11,0.97,0.96,1.04,1.03,1.00,89.1,169.9
5,Angel Stadium,151',Open,"9,882",1.03,1.05,1.02,1.03,0.99,0.99,1.00,1.03,1.00,1.02,1.00,88.6,168.7
6,Target Field,828',Open,"10,440",1.02,0.99,1.04,1.04,1.07,0.90,0.99,0.97,1.04,1.01,1.01,88.5,174.4
7,Chase Field,1086',Retractable,"10,596",1.02,0.91,1.02,1.00,1.10,1.44,0.93,0.98,1.02,1.04,1.02,88.9,166.2
8,Daikin Park,45',Retractable,"9,839",1.02,1.13,1.01,0.99,0.99,0.89,1.07,1.03,0.96,1.01,0.99,88.4,167.1
9,Rogers Centre,270',Retractable,"10,397",1.02,1.09,1.01,0.99,1.03,0.80,1.02,0.98,1.05,1.01,1.00,88.4,167.6
10,Citizens Bank Park,20',Open,"10,106",1.02,1.06,1.03,1.04,0.97,0.96,1.04,0.96,0.92,0.99,1.00,88.5,164.3
11,Nationals Park,35',Open,"10,540",1.01,1.00,1.02,1.03,0.96,0.98,0.95,1.00,1.05,1.03,1.00,88.5,161.8
12,Rate Field,595',Open,"10,119",1.01,1.01,1.00,1.01,0.98,0.89,0.96,1.07,1.02,1.00,0.99,88.2,169.9
13,loanDepot park,10',Retractable,"10,527",1.00,0.93,1.00,1.00,1.05,1.21,0.97,1.04,1.04,1.03,1.00,88.4,161.6
14,PNC Park,780',Open,"10,345",1.00,0.89,1.02,1.01,1.15,0.90,0.97,0.99,1.00,1.03,1.00,88.8,165.3
15,Kauffman Stadium,856',Open,"10,515",1.00,0.87,1.01,1.00,1.09,1.31,0.95,1.01,1.01,1.02,1.02,88.8,169.4
16,Progressive Field,653',Open,"9,791",1.00,0.98,1.01,1.01,1.04,0.81,1.05,1.03,1.01,1.01,0.99,88.1,167.1
17,Comerica Park,600',Open,"9,857",0.99,1.00,1.00,1.01,0.94,1.16,0.98,0.98,0.96,1.00,1.00,88.6,168.5
18,Truist Park,1001',Open,"9,751",0.99,0.94,1.02,1.05,0.98,1.05,1.05,0.98,0.97,1.00,1.01,88.7,165.9
19,Tropicana Field,15',Dome,"4,131",0.99,1.04,0.98,0.96,0.96,1.16,0.99,0.99,1.03,0.95,1.01,87.5,169
20,Fenway Park,21',Open,"10,176",0.99,0.87,1.01,1.04,1.04,0.84,0.98,0.98,0.93,0.99,0.99,88.3,159.2
21,Dodger Stadium,515',Open,"9,739",0.99,1.11,0.98,0.95,0.96,0.76,1.04,1.00,0.98,1.00,1.00,89,173.2
22,Yankee Stadium,55',Open,"9,551",0.98,1.04,0.97,0.95,0.97,0.91,1.02,1.06,1.02,1.02,1.00,89.3,170.5
23,American Family Field,597',Retractable,"9,768",0.98,1.05,0.99,1.00,0.92,0.96,1.08,1.01,0.96,0.97,1.01,87.5,163.7
24,Citi Field,10',Open,"9,851",0.98,0.97,0.98,1.00,0.96,0.88,1.04,1.06,0.96,0.99,0.99,88.6,164.1
25,Oracle Park,',Open,"10,161",0.98,0.81,1.01,1.03,1.05,1.21,0.97,0.96,0.95,1.01,0.99,88.4,159.6
26,Petco Park,23',Open,"10,043",0.98,1.06,0.97,0.97,0.93,0.83,1.06,1.02,1.06,1.00,0.99,88.1,166.1
27,Busch Stadium,460',Open,"10,492",0.97,0.85,1.00,1.03,1.01,0.93,0.93,0.94,0.98,1.03,1.00,88.8,161.4
28,Wrigley Field,595',Open,"9,889",0.96,1.00,0.97,0.99,0.85,1.08,1.02,0.97,1.00,1.02,0.99,88.6,167.6
29,Globe Life Field,545',Retractable,"9,664",0.94,0.94,0.95,0.97,0.93,0.92,1.02,0.96,1.02,1.01,1.00,88.6,171.6
30,T-Mobile Park,10',Retractable,"9,314",0.94,0.97,0.96,0.96,0.98,0.67,1.10,0.93,1.00,1.00,0.99,88.5,166.5
