Bat Side,R
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"6,799",1.15,1.05,1.13,1.12,1.17,1.44,0.87,1.03,1.04,1.05,1.06,88.3,173.3
2,Sutter Health Park,24',Open,"4,011",1.07,1.07,1.04,1.01,1.12,0.85,0.95,1.09,0.94,0.99,1.01,87.9,173.1
3,Chase Field,1086',Retractable,"6,065",1.05,0.99,1.03,1.00,1.11,1.56,0.93,0.98,1.07,1.04,1.03,88.8,167.4
4,Angel Stadium,151',Open,"6,475",1.03,1.02,1.03,1.05,0.98,1.04,1.01,1.03,0.99,1.00,1.01,88.6,170.7
5,Target Field,828',Open,"5,924",1.02,0.98,1.03,1.01,1.09,1.00,0.99,0.97,1.04,1.01,1.01,88.5,172.3
6,Oriole Park at Camden Yards,33',Open,"5,561",1.02,0.95,1.03,1.04,1.03,1.26,0.97,0.97,1.03,1.05,1.01,89.2,169.9
7,Rogers Centre,270',Retractable,"6,461",1.02,1.08,1.02,1.01,0.99,0.81,1.02,0.99,1.05,1.03,1.00,88.7,167.6
8,Nationals Park,35',Open,"5,628",1.02,1.00,1.02,1.04,0.98,0.98,0.95,1.00,1.03,1.04,0.99,88.3,158.8
9,Great American Ball Park,535',Open,"6,399",1.02,1.09,0.99,0.96,1.04,0.82,1.00,1.05,1.00,0.97,1.00,88.1,174.3
10,Dodger Stadium,515',Open,"5,635",1.01,1.15,0.99,0.96,0.98,0.84,1.04,1.01,1.01,1.00,1.00,88.5,173.8
11,Truist Park,1001',Open,"5,753",1.01,0.94,1.04,1.07,1.01,1.06,1.04,0.98,0.98,1.02,1.01,88.6,163.4
12,Daikin Park,45',Retractable,"6,775",1.00,1.09,1.00,0.97,1.01,0.90,1.08,1.02,0.95,1.00,0.99,87.7,163.2
13,Citizens Bank Park,20',Open,"6,022",1.00,0.98,1.03,1.04,0.99,1.08,1.04,0.95,0.88,1.00,1.00,88.2,159.3
14,Kauffman Stadium,856',Open,"6,200",1.00,0.94,1.00,0.98,1.06,1.20,0.95,1.01,1.03,1.02,1.02,89,168
15,Progressive Field,653',Open,"4,417",1.00,0.89,1.02,1.03,1.10,0.92,1.04,1.03,0.96,1.01,1.00,88.4,164.1
16,Tropicana Field,15',Dome,"2,877",1.00,1.08,0.99,0.96,0.98,1.11,1.01,0.96,1.05,0.97,1.01,87.5,167.1
17,Fenway Park,21',Open,"5,616",1.00,0.92,1.03,1.06,0.97,0.89,0.98,0.98,0.93,0.99,0.99,87.8,155
18,Rate Field,595',Open,"5,899",1.00,0.94,1.00,1.02,0.99,0.75,0.96,1.07,1.00,1.01,0.99,88.3,167.5
19,Comerica Park,600',Open,"5,666",0.99,1.02,1.00,1.01,0.95,0.78,0.99,0.97,0.97,0.99,1.00,88.4,165.9
20,PNC Park,780',Open,"6,302",0.99,0.83,1.02,1.03,1.09,0.91,0.98,0.99,0.96,1.03,1.00,88.2,159.5
21,Petco Park,23',Open,"5,850",0.99,1.09,0.98,0.98,0.93,0.92,1.06,1.02,1.05,0.99,1.00,88.4,163.5
22,loanDepot park,10',Retractable,"6,123",0.98,0.88,0.99,0.98,1.05,1.17,0.98,1.03,1.02,1.02,0.99,88,157.5
23,Yankee Stadium,55',Open,"5,252",0.98,1.05,0.97,0.95,0.97,0.98,1.02,1.05,1.03,1.02,1.00,89.3,170.5
24,Citi Field,10',Open,"5,721",0.98,1.00,0.98,0.97,0.98,0.95,1.03,1.07,1.00,1.00,1.00,88.4,163.9
25,Oracle Park,',Open,"6,113",0.98,0.83,1.00,1.03,1.03,1.18,0.97,0.97,0.94,1.00,0.99,88.3,162.4
26,American Family Field,597',Retractable,"5,773",0.98,1.06,0.98,0.98,0.94,0.78,1.08,1.02,0.96,0.98,1.01,87.9,165.7
27,Busch Stadium,460',Open,"6,148",0.97,0.85,0.99,1.01,1.02,0.91,0.93,0.93,0.97,1.03,1.00,88.8,160.3
28,Wrigley Field,595',Open,"6,150",0.95,1.04,0.95,0.97,0.84,0.96,1.01,0.97,1.00,1.02,0.99,88.4,167
29,Globe Life Field,545',Retractable,"5,693",0.95,0.93,0.96,0.98,0.94,0.88,1.01,0.96,1.01,1.02,1.00,88.4,169.3
30,T-Mobile Park,10',Retractable,"4,949",0.91,0.93,0.94,0.95,0.91,0.75,1.11,0.93,0.96,0.96,1.00,88.1,161.9
