Matchup,CLE @ BOS
Pitcher,Daniel Espino
Pitcher Team,CLE
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,13.1,59,0.231,0.324,0.423,0.192,1.42,3,2.02,11.9%,37.8%,37.3%,28.6%,18.5%,14.85,54.2%,7.8%,13.3%,36.7%,36.7%,27.3%,26.7%
vsLHB,6.2,28,0.167,0.224,0.167,-,1.20,0,-,14.3%,37.9%,35.7%,26.3%,19.0%,13.50,53.6%,6.9%,7.1%,35.7%,35.7%,-,21.4%
vsRHB,6.2,31,0.286,0.414,0.643,0.357,1.65,3,4.05,9.7%,37.7%,38.7%,30.8%,18.1%,16.20,54.8%,8.7%,18.8%,37.5%,37.5%,50.0%,31.2%

,,,STATS,STATCAST
BATTER,SAVE,ODDS,ZONE,L5 PA/G,BBE,HR,NEAR HR,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Trevor Story RHB,,+830,15,4.00,8,1,2,82.0,287.3,2,2,25.0%,25.0%,25.0%,25.0%,25.0%,69.8,10.0%,30.0%,20.0%,90.9%,50.0%,37.5%,33.3%,12.5%,37.5%,50.0%,25.0%,25.0%,50.0%
Mickey Gasper SHB,,+687,19,2.20,8,1,1,95.3,295.1,3,3,25.0%,12.5%,12.5%,62.5%,50.0%,72.1,25.0%,75.0%,25.0%,100.0%,50.0%,25.0%,50.0%,25.0%,37.5%,25.0%,62.5%,12.5%,16.7%
Nick Sogard SHB,,+970,20,4.40,8,1,2,85.4,324.3,4,3,12.5%,12.5%,25.0%,37.5%,37.5%,70.2,-,50.0%,10.0%,100.0%,50.0%,37.5%,0.0%,12.5%,25.0%,50.0%,25.0%,25.0%,40.0%
Jarren Duran LHB,,+740,27,2.80,8,1,1,80.6,300.0,2,2,12.5%,12.5%,12.5%,37.5%,37.5%,76.4,75.0%,37.5%,37.5%,88.9%,62.5%,37.5%,33.3%,25.0%,25.0%,37.5%,50.0%,12.5%,100.0%
Willson Contreras RHB,—,N/A,25,3.80,8,0,0,80.7,177.4,0,0,-,-,12.5%,37.5%,-,78.7,90.0%,20.0%,-,76.9%,12.5%,12.5%,0.0%,-,62.5%,62.5%,25.0%,12.5%,50.0%
Connor Wong RHB,—,N/A,23,3.80,8,0,0,86.0,294.3,1,0,-,-,-,37.5%,12.5%,72.4,16.7%,41.7%,16.7%,100.0%,37.5%,37.5%,0.0%,-,62.5%,25.0%,37.5%,37.5%,25.0%
Andruw Monasterio RHB,—,N/A,10,2.60,8,0,0,77.0,229.3,1,0,-,-,12.5%,25.0%,-,70.8,12.5%,37.5%,12.5%,80.0%,25.0%,25.0%,0.0%,-,50.0%,25.0%,50.0%,25.0%,14.3%
Wilyer Abreu LHB,,+630,25,4.20,8,0,0,88.1,222.5,0,0,-,-,12.5%,25.0%,25.0%,74.3,44.4%,44.4%,11.1%,100.0%,62.5%,37.5%,0.0%,25.0%,25.0%,37.5%,12.5%,50.0%,28.6%
Ceddanne Rafaela RHB,—,N/A,16,3.20,8,0,0,87.5,297.6,2,0,-,-,12.5%,25.0%,25.0%,68.8,8.3%,41.7%,-,80.0%,50.0%,37.5%,0.0%,12.5%,50.0%,25.0%,37.5%,37.5%,60.0%
Adley Rutschman SHB,,+980,29,4.00,8,0,1,92.9,272.3,2,1,12.5%,-,12.5%,37.5%,37.5%,72.4,38.5%,46.2%,23.1%,100.0%,50.0%,37.5%,0.0%,12.5%,37.5%,12.5%,62.5%,25.0%,28.6%
Isiah Kiner-Falefa RHB,,+1400,14,3.60,8,0,0,78.4,274.1,1,0,-,-,25.0%,12.5%,62.5%,65.9,-,38.5%,7.7%,92.9%,50.0%,12.5%,0.0%,37.5%,37.5%,50.0%,25.0%,25.0%,66.7%
Roman Anthony LHB,,+750,14,4.40,8,0,0,97.3,275.1,3,0,12.5%,12.5%,50.0%,50.0%,62.5%,77.6,88.9%,55.6%,22.2%,100.0%,87.5%,37.5%,0.0%,50.0%,12.5%,62.5%,25.0%,12.5%,100.0%
Caleb Durbin RHB,,+1200,12,4.00,8,0,0,76.0,208.5,0,0,-,-,37.5%,37.5%,50.0%,69.2,-,40.0%,-,83.3%,50.0%,12.5%,0.0%,37.5%,25.0%,62.5%,37.5%,-,50.0%
Jahmai Jones RHB,,+560,5,2.80,6,0,0,87.1,229.6,2,1,-,-,16.7%,50.0%,16.7%,72.5,22.2%,33.3%,22.2%,100.0%,50.0%,33.3%,0.0%,16.7%,16.7%,33.3%,50.0%,16.7%,16.7%
